name,type,location,address,distance,rating,business_area
铭星台球俱乐部(俊华广场店),体育休闲服务;运动场馆;台球厅,"114.288167,30.583322",江汉路177号俊华大厦5楼,446,4.5,前进
左右棋牌,体育休闲服务;娱乐场所;棋牌室,"114.292065,30.590616",大智路京汉大道京汉19032-3-B10,447,4.1,大智路
迈索尔瑜伽(金地学院),体育休闲服务;运动场馆;健身中心,"114.291962,30.590657",球场街道京汉大道869号商业裙房栋2-3E16E18-1室,447,4.7,大智路
V8台球会馆(江汉路店),体育休闲服务;运动场馆;台球厅,"114.288328,30.583241",江汉路179号俊华大厦F5层,448,4.3,江滩
大笨象原创剧情密室逃脱(俊华广场店),体育休闲服务;娱乐场所;娱乐场所,"114.288220,30.583276",水塔街道江汉路181号俊华大厦3楼,449,4.3,江滩
神盾局科技密室(俊华店),体育休闲服务;娱乐场所;娱乐场所,"114.288280,30.583245",江汉路181号俊华大厦3楼层3-2室,450,4.5,江滩
Helens海伦司小酒馆(武汉俊华大厦店),体育休闲服务;娱乐场所;酒吧,"114.288413,30.583194",俊华大厦4楼3号(循礼门地铁站C口步行330米),450,4.6,江滩
阿曼达主题KTV(江汉路店),体育休闲服务;娱乐场所;KTV,"114.288242,30.583250",江汉路步行街181号俊华大厦B座6层,450,4.3,前进
异次元密室(江汉路店),体育休闲服务;体育休闲服务场所;体育休闲服务场所,"114.288183,30.583259",江汉路步行街俊华广场5楼,452,4.3,江滩
武汉市青少年宫音乐厅,体育休闲服务;影剧院;音乐厅,"114.286063,30.588997",江岸区解放大道1435号,452,4.7,建设大道
长藤鬼校(武汉旗舰店),体育休闲服务;体育休闲服务场所;体育休闲服务场所,"114.288028,30.583286",江汉路步行街俊华广场5层,456,4.5,江滩
K-LOCK柯洛克密室逃脱(新长盛广场店),体育休闲服务;娱乐场所;娱乐场所,"114.289029,30.582970",江汉路126号第四层4-3,456,4.2,江滩
K3剧本杀狼人杀探案桌游馆(俊华大厦B座店),体育休闲服务;娱乐场所;娱乐场所,"114.288104,30.583248",江汉路俊华大厦B座1605室,456,3.7,前进
初昕手作(新长盛广场店),体育休闲服务;体育休闲服务场所;体育休闲服务场所,"114.288990,30.582963",江汉路步行街155号长盛公寓20楼2001,457,4.3,江滩
甜甜电玩SWEET主机游戏(俊华大厦B座店),体育休闲服务;娱乐场所;游戏厅,"114.288015,30.583263",循礼门俊华大厦B座2902,458,4,前进
怪兽屋(俊华广场店),体育休闲服务;休闲场所;休闲场所,"114.288110,30.583210",俊华广场(循礼门地铁站C口步行200米),460,4.2,江滩
拾光工艺品店,体育休闲服务;休闲场所;休闲场所,"114.287962,30.583271",云梦街77号,460,4.1,前进
长藤密室(江汉路2店),体育休闲服务;娱乐场所;娱乐场所,"114.289112,30.582895",江汉路步行街新长盛广场3楼,462,4.7,江滩
作幺探案馆·灰渡店,体育休闲服务;娱乐场所;娱乐场所,"114.289361,30.582851",江汉路步行街与江汉二路交叉口西北60米,462,4,前进
Q影私人影咖(江汉路店),体育休闲服务;体育休闲服务场所;体育休闲服务场所,"114.288153,30.583167",江汉路177号俊华大厦A座2702号,462,4,江滩
YOGO优果密室逃脱(江汉路步行街店),体育休闲服务;娱乐场所;娱乐场所,"114.288162,30.583155",江汉路俊华大厦商场4楼(循礼门地铁站C口步行280米),463,4.4,江滩
长藤密室(江汉路1店),体育休闲服务;娱乐场所;娱乐场所,"114.288128,30.583157",江汉路步行街俊华大厦5楼,464,4.5,江滩
江城电玩Ps4·Ps5·Switch,体育休闲服务;娱乐场所;娱乐场所,"114.287968,30.583218",俊华大厦B座1605(朱光玉火锅旁路口进来),465,4.4,前进
灰渡·Gray推理社,体育休闲服务;娱乐场所;娱乐场所,"114.289461,30.582810",江汉路步行街新长盛广场老凤祥旁电梯9楼全层,465,4.1,江滩
C Room密室逃脱(金路易大厦店),体育休闲服务;娱乐场所;娱乐场所,"114.291801,30.583014",江汉一路金路易大厦附楼2层,466,3.8,大智路
穿越大唐不夜城,体育休闲服务;体育休闲服务场所;体育休闲服务场所,"114.287085,30.583685",江汉路187号M购物中心,467,3.8,江滩
甜度·美少女桌游K歌私影助教棋牌馆,体育休闲服务;体育休闲服务场所;体育休闲服务场所,"114.288322,30.583054",俊华大厦29楼08号(循礼门地铁站C口步行310米),468,3.9,江滩
艾幕私人影院(俊华大厦A座店),体育休闲服务;影剧院;电影院,"114.288367,30.582984",江汉路步行街俊华大厦A座17楼,473,4,江滩
武汉市电玩部落,体育休闲服务;娱乐场所;游戏厅,"114.288328,30.582995",江汉路179号俊华大厦A座28-02室王记牛杂旁巷子口,473,3.8,前进
Smart姐姐の实景恐怖体验馆(俊华广场店),体育休闲服务;娱乐场所;娱乐场所,"114.288300,30.582999",江汉三路俊华大厦4层(循礼门地铁站C口步行330米),474,4.2,前进
泊尚精哑店武汉江汉路步行街店,体育休闲服务;娱乐场所;娱乐场所,"114.291598,30.582856",江汉一路与保成路交叉口东北60米,476,2.8,大智路
M.E逃脱大师真人密室逃脱(俊华大厦店),体育休闲服务;娱乐场所;娱乐场所,"114.288270,30.582987",江汉四路10号俊华大厦A座905室,476,4.9,江滩
看吧私影,体育休闲服务;影剧院;电影院,"114.295045,30.587724",武汉数码港西北门旁,476,4.2,江滩
柯洛克密室逃脱俊华广场店,体育休闲服务;娱乐场所;娱乐场所,"114.288519,30.582895",江汉路181号俊华大厦3层,478,4.3,江滩
