name,type,location,address,distance,rating,business_area
这家炒菜真的很好吃,餐饮服务;中餐厅;中餐厅,"114.292846,30.586707",合兴里小区西北门旁,259,[],大智路
肉饼王,餐饮服务;中餐厅;中餐厅,"114.287875,30.588225",黄石路与解放南路交叉口西南120米,259,[],大智路
汉味馄饨(安静小区店),餐饮服务;中餐厅;中餐厅,"114.289592,30.589239",安静社区西南1门东北70米,260,4,江滩
吉庆78号私房菜(江汉路店),餐饮服务;中餐厅;中餐厅,"114.290737,30.584671",南京路吉庆街78号,260,4.6,江滩
在下江小虾,餐饮服务;餐饮相关场所;餐饮相关,"114.292549,30.585841",辅义里西南门旁,261,3.7,大智路
黑土地铁锅炖,餐饮服务;中餐厅;中餐厅,"114.290599,30.584634",吉庆街94号福忠里(循礼门地铁站H口步行370米),261,[],江滩
吉庆包子,餐饮服务;餐饮相关场所;餐饮相关,"114.292864,30.586665",大智街街道交易街23号,262,3.6,大智路
虾大锅小火锅(金业里小区店),餐饮服务;中餐厅;火锅店,"114.289187,30.584739",铭新街10号(循礼门地铁站H口步行190米),263,3.7,大智路
挞柠手打柠檬茶(江汉路Markmall潮玩街店),餐饮服务;冷饮店;冷饮店,"114.287736,30.585819",京汉大道856号(循礼门H出口)挞柠江汉路markmall潮玩街店-S0111b-1,263,4,江滩
市井食堂吉庆街店,餐饮服务;中餐厅;中餐厅,"114.292876,30.586622",吉庆街136号附5号,263,4.1,大智路
东北菜铁锅炖(南京路店),餐饮服务;中餐厅;东北菜,"114.290590,30.584598",南京路118号1层,265,4.7,大智路
兰州拉面(铭新街店),餐饮服务;中餐厅;清真菜馆,"114.292568,30.588127",铭新街83号,266,4.2,大智路
吉庆街夜市大排档(合兴里小区店),餐饮服务;中餐厅;中餐厅,"114.292909,30.586678",吉庆街138号胜利菜场元宝饺子对面,266,4.1,江滩
黄家馄饨(福忠里店),餐饮服务;中餐厅;中餐厅,"114.290619,30.584591",吉庆街94号福忠里(循礼门地铁站H口步行380米),266,4,江滩
天天热干面(武汉可森酒店店),餐饮服务;中餐厅;中餐厅,"114.292579,30.588128",景福小区西南门旁,267,4.3,江滩
蔡明纬(瑞祥路店),餐饮服务;中餐厅;中餐厅,"114.291651,30.588989",京汉大道962附1(大智路地铁站G口步行400米),268,3.8,大智路
叫了只炸鸡(大智路店),餐饮服务;快餐厅;快餐厅,"114.290964,30.589261",安静小区12号楼12栋1层4室,268,4.2,江滩
炸鸡君芝士炸鸡,餐饮服务;快餐厅;快餐厅,"114.290947,30.589270",安静社区东南门东北60米,269,3.5,大智路
王记汤包(南京路店),餐饮服务;中餐厅;中餐厅,"114.290629,30.584569",南京路118号(近吉庆街),269,4.2,大智路
老杨家鲜鱼糊粉(福忠里店),餐饮服务;中餐厅;中餐厅,"114.290633,30.584568",南京路118号(循礼门地铁站H口步行380米),269,4.6,江滩
五味轩煲仔饭(福忠里店),餐饮服务;中餐厅;中餐厅,"114.290645,30.584554",南京路118号(循礼门地铁站H口步行400米),271,4.4,江滩
一碗隆江猪脚饭,餐饮服务;中餐厅;中餐厅,"114.289344,30.589313",安静社区西南1门东北60米,273,3.7,大智路
周黑鸭(京汉大道店),餐饮服务;餐饮相关场所;餐饮相关,"114.291725,30.589020",瑞祥路与京汉大道交叉口东南40米,275,3.9,大智路
